@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 19\nSize of the tree: 21\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 10\nSize of the tree: 11\n','Number of leaves: 28\nSize of the tree: 31\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,22,8,0,73.333333,26.666667,0,0,0.390097,0.442222,99.797724,100.00115,25.099248,25.099747,-0.000499,0.836642,0.836658,-0.000017,0.046581,0.001553,0.185586,1,22,1,8,0,0,0,0,0.733333,1,0.846154,?,0.5,0.733333,0.733333,0.733333,0.266667,0.266667,?,0.733333,?,?,0.5,0.608889,?,0.733333,0,0,0,0,0,0,3866,19253,4247,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0.001,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,22,9,0,70.967742,29.032258,0,-0.060837,0.364959,0.444665,94.224352,101.599642,25.547654,26.111399,-0.563745,0.824118,0.842303,-0.018185,0.733466,0.02366,2.870971,0.956522,22,1,8,0,0,0.043478,1,0.733333,0.956522,0.830189,-0.107676,0.554348,0.764923,0.709677,0.753156,0.246844,0.290323,0.544086,0.709677,0.615946,-0.107676,0.554348,0.643278,0.415094,0.709677,0.001,0,0,0,0,0,5831,19192,4308,100,100,'Number of leaves: 10\nSize of the tree: 11\n',11,10,10
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,21,10,0,67.741935,32.258065,0,0.162162,0.40578,0.477902,101.232801,105.102608,27.024229,29.288473,-2.264244,0.871749,0.944789,-0.07304,-2.079525,-0.067081,-7.695038,0.818182,18,0.666667,6,0.333333,3,0.181818,4,0.75,0.818182,0.782609,0.164488,0.537879,0.720605,0.677419,0.525904,0.474096,0.322581,0.656682,0.677419,0.664271,0.164488,0.537879,0.615976,0.578804,0.677419,0,0,0,0,0,0,5831,19192,4308,100,100,'Number of leaves: 10\nSize of the tree: 11\n',11,10,10
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,22,8,0,73.333333,26.666667,0,0,0.390097,0.442222,99.797724,100.00115,25.099248,25.099747,-0.000499,0.836642,0.836658,-0.000017,0.046581,0.001553,0.185586,1,22,1,8,0,0,0,0,0.733333,1,0.846154,?,0.5,0.733333,0.733333,0.733333,0.266667,0.266667,?,0.733333,?,?,0.5,0.608889,?,0.733333,0,0,0,0,0,0,3866,19253,4247,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,21,9,0,70,30,0,0.042553,0.367633,0.461002,94.050775,104.247878,25.099248,1097.033341,-1071.934093,0.836642,36.567778,-35.731136,1.102914,0.036764,4.394212,0.909091,20,0.875,7,0.125,1,0.090909,2,0.740741,0.909091,0.816327,0.050252,0.616477,0.786101,0.7,0.665909,0.334091,0.3,0.632099,0.7,0.647124,0.050252,0.616477,0.670919,0.499072,0.7,0,0,0,0,0,0,7555,19253,4247,96.666667,96.666667,'Number of leaves: 19\nSize of the tree: 21\n',21,19,19
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,22,8,0,73.333333,26.666667,0,0,0.390097,0.442222,99.797724,100.00115,25.099248,25.099747,-0.000499,0.836642,0.836658,-0.000017,0.046581,0.001553,0.185586,1,22,1,8,0,0,0,0,0.733333,1,0.846154,?,0.5,0.733333,0.733333,0.733333,0.266667,0.266667,?,0.733333,?,?,0.5,0.608889,?,0.733333,0,0,0,0,0,0,3866,19253,4247,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,22,8,0,73.333333,26.666667,0,0,0.390097,0.442222,99.797724,100.00115,25.099248,25.099747,-0.000499,0.836642,0.836658,-0.000017,0.046581,0.001553,0.185586,1,22,1,8,0,0,0,0,0.733333,1,0.846154,?,0.5,0.733333,0.733333,0.733333,0.266667,0.266667,?,0.733333,?,?,0.5,0.608889,?,0.733333,0.001,0,0,0,0,0,3866,19253,4247,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,4,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
